Actual - Fictional - Фактический -Вымышленный
Strong - Weak - Сильный - Слабый 
Stubborn - Agreeable - Упрямый - Согласный 
Toll - Short - Высокий - Низкй
Thick - Thin - Толстый - Тонкий 
Tight - Loose - Тугой - Дряблый 
Transparent - Opaque - Прозрачный - Непрозрачный 
True - False - Истина - Ложь 
Warm - Cool - Теплый - Охлаждённый 
Wet - Dry - Влажный - Сухой 
Wide - Narrow - Широкий - Узкий
